SL,SMILE1,SMILE2,Temperature,Prompt,Reactive_groups,Source_File
1,C=CCc1ccccc1OCC(O)COC(=O)Cc3ccc(C(=O)OCC(O)COc2ccccc2CC=C)cc3,C=C(CCS)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCSC(=O)NCCC(C(=O)NSCC(=O)CCS)CC(N)C(=O)NSCC(=O)CCS,1.6,Suggest a polymer system for Tg ≈ 40°C and Er ≈ 80 MPa.,"['C=C', 'CCS']",properties_generated_responses_small.json
2,c3cc(N(CC1CO1)CC2CO2)ccc3Cc6ccc(N(CC4CO4)CC5CO5)cc6,CC(CNC)CC(C)(CN)CN,1.3,Propose two monomers that form a TSMP with Tg = 100°C and Er = 100 MPa.,"['C1OC1', 'NC']",properties_generated_responses_small.json
3,CC(C)(c1ccc(OC2CO2)cc1)c4ccc(OC3CO3)cc4,CCC(COCC(C)COCC(C)N)(COCC(C)OCC(C)N)COCC(C)OCC(C)N,1.6,Propose two monomers that form a TSMP with Tg = 100°C and Er = 100 MPa.,"['C1OC1', 'NC']",properties_generated_responses_small.json
4,CC(C)(c2ccc(OCC1CO1)cc2)c6ccc(OCC5CO5)cc6,NCc1cccc(CN)c1,0.8,Generate a thermoset shape memory polymer with Tg = 150°C and Er = 200 MPa.,"['C1OC1', 'NC']",properties_generated_responses_small.json
5,O=c1ccc(=O)n1c5ccc(Cc4ccc(n3c(=O)ccc4=O)cc3)cc5,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,0.8,Generate a thermoset shape memory polymer with Tg = 150°C and Er = 200 MPa.,"['NC', 'C1OC1']",properties_generated_responses_small.json
6,CC(C)(c2ccc(OCC1CO1)cc2)c6ccc(OCC5CO5)cc6,CC(N)COCC(C)OCC(C)OCC(C)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)N,1,Generate a thermoset shape memory polymer with Tg = 150°C and Er = 200 MPa.,"['C1OC1', 'NC']",properties_generated_responses_small.json
7,O=C(OCC1CO1)C3CC2OC2CC3C(=O)OCC4CO4,CC1(C)CC(N)COCC(C)OCC(C)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)NCC1(C),1.3,Generate a thermoset shape memory polymer with Tg = 150°C and Er = 200 MPa.,"['C1OC1', 'NC']",properties_generated_responses_small.json
8,CCCCCCCCC1OC1CCCCCCCC(=O)OCC(COC(=O)CCCCCCCC2OC2CC3OC3CC4OC4CC)OC(=O)CCCCCCCC5OC5CC6OC6CC7OC7CC,NCC1CCCC(CN)C1,1.6,Generate a thermoset shape memory polymer with Tg = 150°C and Er = 200 MPa.,"['C1OC1', 'NC']",properties_generated_responses_small.json
9,Cc3cc(c2cc(C)c(OCC1CO1)c(C(N)=O)c2)cc(C(N)=O)c3OCC4CO4,NCc1cccc(CN)c1,1.6,Generate a thermoset shape memory polymer with Tg = 150°C and Er = 200 MPa.,"['C1OC1', 'NC']",properties_generated_responses_small.json
10,CC(COc3ccc(C(C)(C)c2ccc(OCC(C)OCC1CO1)cc2)cc3)C(C)(C)c6ccc(OCC5CO5)cc6,NCCCOCCOCCCN,0.8,Create a thermoset polymer with Tg around 140°C and Er near 80 MPa.,"['C1OC1', 'NC']",properties_generated_responses_small.json
11,CC(C)(c4ccc(OSc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)cc4)c6ccc(OCC5CO5)cc6,NCCNCCN,1.6,Create a thermoset polymer with Tg around 140°C and Er near 80 MPa.,"['C1OC1', 'NC']",properties_generated_responses_small.json
